user_id,movie_id,rating,gender,age,occupation
1,1035,5,0,1,10
1,1,5,0,1,10
1,1028,5,0,1,10
1,919,4,0,1,10
1,595,5,0,1,10
1,531,4,0,1,10
1,720,3,0,1,10
1,1029,5,0,1,10
1,938,4,0,1,10
1,48,5,0,1,10
1,150,5,0,1,10
1,527,5,0,1,10
1,1246,4,0,1,10
1,594,4,0,1,10
1,1836,5,0,1,10
1,260,4,0,1,10
1,1907,4,0,1,10
1,1207,4,0,1,10
1,1721,4,0,1,10
1,661,3,0,1,10
1,1270,5,0,1,10
1,1566,4,0,1,10
1,1197,3,0,1,10
1,608,4,0,1,10
2,95,2,1,56,16
2,1198,4,1,56,16
2,736,4,1,56,16
2,1247,5,1,56,16
2,1945,5,1,56,16
2,1527,4,1,56,16
2,1873,4,1,56,16
2,457,4,1,56,16
2,349,4,1,56,16
2,1597,3,1,56,16
2,1193,5,1,56,16
2,1687,3,1,56,16
2,1372,3,1,56,16
2,590,5,1,56,16
2,1103,3,1,56,16
2,1917,3,1,56,16
2,1954,5,1,56,16
2,1207,4,1,56,16
2,265,4,1,56,16
2,1210,4,1,56,16
2,1968,2,1,56,16
2,1357,5,1,56,16
2,1246,5,1,56,16
2,982,4,1,56,16
2,1245,2,1,56,16
2,1801,3,1,56,16
2,368,4,1,56,16
2,498,3,1,56,16
2,21,1,1,56,16
2,1544,4,1,56,16
2,480,5,1,56,16
2,1225,5,1,56,16
2,292,3,1,56,16
2,1096,4,1,56,16
2,1792,3,1,56,16
2,1955,4,1,56,16
2,1442,4,1,56,16
2,1090,2,1,56,16
2,1953,4,1,56,16
2,1217,3,1,56,16
2,1552,3,1,56,16
2,1253,3,1,56,16
2,647,3,1,56,16
2,1610,5,1,56,16
2,1385,3,1,56,16
2,1124,5,1,56,16
2,515,5,1,56,16
2,318,5,1,56,16
2,235,3,1,56,16
2,1259,5,1,56,16
2,1784,5,1,56,16
2,356,5,1,56,16
2,1957,5,1,56,16
2,920,5,1,56,16
2,1213,2,1,56,16
3,480,4,1,25,15
3,1304,5,1,25,15
3,593,3,1,25,15
3,1431,3,1,25,15
3,1049,4,1,25,15
3,1259,5,1,25,15
3,1136,5,1,25,15
3,1615,5,1,25,15
3,653,4,1,25,15
3,733,5,1,25,15
3,1378,5,1,25,15
3,1079,5,1,25,15
3,1197,5,1,25,15
3,1198,5,1,25,15
3,1266,5,1,25,15
3,1265,2,1,25,15
3,1394,4,1,25,15
3,260,5,1,25,15
3,1196,4,1,25,15
3,1379,4,1,25,15
3,1291,4,1,25,15
3,1261,1,1,25,15
4,1954,5,1,45,7
4,1214,4,1,45,7
4,1210,3,1,45,7
4,1198,5,1,45,7
4,1387,5,1,45,7
4,1240,5,1,45,7
4,1201,5,1,45,7
4,1036,4,1,45,7
5,1554,3,1,25,20
5,1734,4,1,25,20
5,412,2,1,25,20
5,1535,4,1,25,20
5,562,4,1,25,20
5,1175,5,1,25,20
5,377,4,1,25,20
5,1466,3,1,25,20
5,1923,3,1,25,20
5,215,3,1,25,20
5,47,3,1,25,20
5,1127,1,1,25,20
5,194,3,1,25,20
5,265,3,1,25,20
5,24,1,1,25,20
5,728,4,1,25,20
5,1759,4,1,25,20
5,1250,5,1,25,20
5,1730,4,1,25,20
5,1966,2,1,25,20
5,39,3,1,25,20
5,1884,3,1,25,20
5,1719,3,1,25,20
5,1635,4,1,25,20
5,515,4,1,25,20
5,1610,4,1,25,20
5,1268,2,1,25,20
5,348,4,1,25,20
5,1093,2,1,25,20
5,1649,4,1,25,20
5,1243,3,1,25,20
5,1279,1,1,25,20
5,506,4,1,25,20
5,581,3,1,25,20
5,1733,3,1,25,20
5,1594,1,1,25,20
5,1046,5,1,25,20
5,497,3,1,25,20
5,50,5,1,25,20
5,1912,3,1,25,20
5,501,1,1,25,20
5,1909,3,1,25,20
5,356,1,1,25,20
5,202,2,1,25,20
5,551,4,1,25,20
5,1747,2,1,25,20
5,1529,4,1,25,20
5,272,3,1,25,20
5,36,3,1,25,20
5,176,4,1,25,20
5,224,3,1,25,20
5,150,2,1,25,20
5,509,4,1,25,20
5,1885,4,1,25,20
5,321,3,1,25,20
5,733,1,1,25,20
5,353,2,1,25,20
5,1213,5,1,25,20
5,1715,4,1,25,20
5,1650,3,1,25,20
