seed,average_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,round_delay_ms,average_delay_ms,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_position,motion_policy,path_plan_status,path_plan_solver,decision_request_count,decision_request_source,evaluation_request_count,evaluation_request_source,uses_miss_feedback,cache_update_count,direct_llm_fallback
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,0,0,9,10,0.06480117820324006,73.23916064168199,66.65999179783456,34.66456531772529,29.44311562840941,76.24917895903009,24.49137137501975,29.47392033141717,24.191347877418703,3,41,635,679,44,3,41,635,451,184,290.0,19.0,1,17,,direct_llm_motion,,,680,predicted_history_open_loop_signal,679,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,1,10,19,10,0.05223880597014925,74.60328306618081,66.65999179783456,34.19144101606607,34.548724274453534,76.81157730392701,24.851326152213467,24.57885103446081,22.288951386302763,1,34,635,670,35,1,34,635,514,121,490.0,20.0,1,13,,direct_llm_motion,,,680,predicted_history_open_loop_signal,670,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,2,20,29,10,0.06962962962962962,69.3175114702489,66.65999179783456,33.85985091010262,31.364768151582847,72.0903817394885,25.130434954227123,27.391100158383733,26.259587932138444,17,30,628,675,47,17,30,628,422,206,690.0,20.0,6,13,,direct_llm_motion,,,680,predicted_history_open_loop_signal,675,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,3,30,39,10,0.16400580551523947,59.34323917291756,66.65999179783456,31.58102677002764,29.39987574628984,65.11530339091759,27.213543756071363,29.57149318533024,36.541578561573274,27,86,576,689,113,27,86,576,102,474,910.0,22.0,10,33,,direct_llm_motion,,,680,predicted_history_open_loop_signal,689,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,4,40,49,10,0.17359050445103857,56.54278344871188,66.65999179783456,27.970065790671367,29.267453191616113,62.351266055017675,31.843989954203526,30.41309642618057,40.02408628036324,34,83,557,674,117,34,83,557,0,557,170.0,26.0,13,40,,direct_llm_motion,,,680,predicted_history_open_loop_signal,674,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,5,50,59,10,0.1515601783060921,62.40454926123821,66.65999179783456,29.487456701176086,34.76802190711319,67.81301618877507,30.415192101711565,24.415816206286987,31.761891150997375,51,51,571,673,102,51,51,571,83,488,470.0,30.0,23,42,,direct_llm_motion,,,680,predicted_history_open_loop_signal,673,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,6,60,69,10,0.13411078717201166,67.18602605459127,66.65999179783456,29.833243289338345,0.0,72.97130554011866,29.400336601907387,0.0,26.971477051633347,92,0,594,686,92,92,0,594,128,466,730.0,26.0,40,29,,direct_llm_motion,,,680,predicted_history_open_loop_signal,686,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,7,70,79,10,0.1282798833819242,71.2168932283404,66.65999179783456,27.56439463398471,32.114691185932784,77.54936198700247,32.167365864265186,26.664512355957257,22.728003198871075,76,12,598,686,88,76,12,598,102,496,950.0,22.0,36,16,,direct_llm_motion,,,680,predicted_history_open_loop_signal,686,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,8,80,89,10,0.1564327485380117,67.85082771037145,66.65999179783456,30.0182073334515,30.626746910273063,74.84232505883512,29.31220723261169,28.8329255957407,25.044620893995102,84,23,577,684,107,84,23,577,11,566,210.0,26.0,39,12,,direct_llm_motion,,,680,predicted_history_open_loop_signal,684,current_service_window_true_requests,False,0,False
42,0.12286701397240378,open_loop_llm,Open-loop LLM,50,50,50,9,90,99,10,0.13402061855670103,64.95106925545521,66.65999179783456,32.408952015378375,34.86055407317443,69.96233295698619,26.707361864273068,24.345298567350593,28.562951518055385,85,6,588,679,91,85,6,588,142,446,470.0,26.0,35,21,,direct_llm_motion,,,680,predicted_history_open_loop_signal,679,current_service_window_true_requests,False,0,False
