episode,seed,epsilon,episode_reward,episode_average_chr,episode_average_local_rsu_chr,episode_average_delay_ms,loss,rounds,mrsu_cache_capacity,frsu_cache_capacity
0,42,1.0,4.320642458602707,0.4320642458602707,0.6726718550844948,42.897023233724276,0.0,10,400,400
1,43,0.99,5.453562288392794,0.5453562288392794,0.6715061949523637,42.84550657605915,0.0,10,400,400
2,44,0.9801,5.8046736166790485,0.5804673616679048,0.6720748755872653,42.694984251464106,0.0,10,400,400
3,45,0.9702989999999999,4.999486373951891,0.4999486373951891,0.6540965982407266,43.944532907840646,0.0,10,400,400
4,46,0.96059601,5.199329427568823,0.5199329427568823,0.6980220109985902,41.450055876402594,0.0,10,400,400
5,47,0.9509900498999999,5.0957412166916916,0.5095741216691692,0.6716228187408013,42.62359630140059,0.0,10,400,400
6,48,0.9414801494009999,5.872658488632473,0.5872658488632473,0.6575196489029075,44.108142608909866,0.20344675864492143,10,400,400
7,49,0.9320653479069899,5.4753008116702135,0.5475300811670214,0.6588451633616345,43.472956193627176,0.07321743704378605,10,400,400
8,50,0.92274469442792,5.375484963152554,0.5375484963152555,0.6673299254381149,43.00976208780031,0.026707790978252887,10,400,400
9,51,0.9135172474836407,5.920517405772738,0.5920517405772738,0.6803368791608289,41.523506921655056,0.016176742408424614,10,400,400
10,52,0.9043820750088043,5.683894021205026,0.5683894021205026,0.6664147228382482,43.53377667787964,0.010906353825703263,10,400,400
11,53,0.8953382542587163,5.349513354519965,0.5349513354519966,0.6716552814245859,43.023727753997896,0.007730957167223096,10,400,400
12,54,0.8863848717161291,4.7963317394824045,0.47963317394824045,0.6767759569962146,42.17449607889438,0.010818503121845425,10,400,400
13,55,0.8775210229989678,5.170864349067129,0.5170864349067129,0.661523715349372,42.36813814580217,0.011978530418127775,10,400,400
14,56,0.8687458127689781,4.792331499780846,0.4792331499780846,0.6777332546868186,43.12798467489084,0.012100509880110622,10,400,400
15,57,0.8600583546412883,5.1474518906999895,0.514745189069999,0.6902825980222502,42.7000365476254,0.01371659836731851,10,400,400
16,58,0.8514577710948754,5.795675404311395,0.5795675404311396,0.6717153099143014,42.206432114438556,0.010954215773381293,10,400,400
17,59,0.8429431933839266,5.068263832697715,0.5068263832697715,0.6833378656433873,42.4763566751942,0.005519313062541187,10,400,400
18,60,0.8345137614500874,6.116089948178963,0.6116089948178962,0.674466502669212,42.92105773510876,0.006348738470114768,10,400,400
19,61,0.8261686238355865,4.43509628699039,0.44350962869903904,0.6753544277256125,42.197612238874385,0.004898786637932062,10,400,400
20,62,0.8179069375972307,4.873796730165611,0.4873796730165611,0.6705254548042919,42.69283333399358,0.004436457203701139,10,400,400
21,63,0.8097278682212583,5.5187720538421265,0.5518772053842127,0.6761524983673399,42.70108961617759,0.007976930565200746,10,400,400
22,64,0.8016305895390458,5.447642981496527,0.5447642981496527,0.6718981763361236,42.486247332513564,0.0036230824422091245,10,400,400
23,65,0.7936142836436553,5.490679604516652,0.5490679604516652,0.6676141998312437,43.20527859796549,0.005272892769426107,10,400,400
24,66,0.7856781408072188,4.98085525558746,0.49808552555874597,0.6748048243408084,42.963018029315485,0.005174973397515714,10,400,400
25,67,0.7778213593991465,5.549793607889792,0.5549793607889792,0.6793675592559191,42.45587608369525,0.006536287046037615,10,400,400
26,68,0.7700431458051551,5.006357727865494,0.5006357727865494,0.6637287432838814,44.13235135936054,0.0692862722557038,10,400,400
27,69,0.7623427143471035,4.8808103240483725,0.48808103240483725,0.6825860614493056,43.41131272016678,0.05168958585709334,10,400,400
28,70,0.7547192872036325,5.514112894590763,0.5514112894590764,0.680748662331347,41.944109984819875,0.03218021597713232,10,400,400
29,71,0.7471720943315961,5.15088088245208,0.515088088245208,0.6792008236369523,42.41981358217292,0.02599583240225911,10,400,400
30,72,0.7397003733882802,5.446070759709789,0.5446070759709789,0.7038984830719915,41.28035318715204,0.025003151781857014,10,400,400
31,73,0.7323033696543974,6.177065182603259,0.617706518260326,0.7010361299270811,41.92485842944789,0.021655538212507965,10,400,400
32,74,0.7249803359578534,4.768264813577721,0.4768264813577721,0.6584834413808061,44.01435573654426,0.02303574765101075,10,400,400
33,75,0.7177305325982748,4.878403123809892,0.4878403123809892,0.6840235370189947,41.42825569400657,0.017715484462678434,10,400,400
34,76,0.7105532272722921,5.006450575827854,0.5006450575827854,0.6863749049120313,41.80827582545436,0.019016239000484346,10,400,400
35,77,0.7034476949995692,5.309456100813051,0.5309456100813051,0.6802567177101398,42.293785385985636,0.015020209643989802,10,400,400
36,78,0.6964132180495735,5.692999509277891,0.5692999509277892,0.6726300236892249,43.510131660842575,0.013696734234690667,10,400,400
37,79,0.6894490858690777,5.659531373745189,0.5659531373745189,0.6764598460617208,43.015936017671386,0.01626335922628641,10,400,400
38,80,0.682554595010387,5.320432290284031,0.5320432290284031,0.673652057103464,43.00392973207977,0.013422623928636312,10,400,400
39,81,0.6757290490602831,5.42352453589014,0.542352453589014,0.6848795310025253,42.538745682608486,0.013557187467813491,10,400,400
